Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
604,24.12223,2019.81688,0.92819,36.74173,33775.06958,20.73399,1.12732,1.11626,1.41982,-1.9824659279,-0.8992593321,2.4404804126,1.4032934129
605,0,3208.64949,0.96006,105.23497,33827.12073,20.26741,1.35177,1.04773,1.20403,0.0959336154,0.0685174605,0.0959336154,0.0685174605
606,10.32512,3208.64949,0.96006,105.23497,33827.12073,20.26741,1.35177,1.04773,1.20403,-1.272119625,-0.4452617582,1.5680440433,1.1016359179
607,18.98025,3208.64949,0.96006,105.23497,33827.12073,20.26741,1.35177,1.04773,1.20403,-2.4490684815,-1.088933586,2.8561514987,1.7529940026
608,25.84667,3208.64949,0.96006,105.23497,33827.12073,20.26741,1.35177,1.04773,1.20403,-2.9793131898,-1.5779666703,4.0356596939,2.2759378618
609,0,2081.25708,0.96958,105.58272,33720.99214,18.36318,1.16689,1.30531,1.526,0.1027509501,0.0731704549,0.1027509501,0.0731704549
610,13.41396,2081.25708,0.96958,105.58272,33720.99214,18.36318,1.16689,1.30531,1.526,-1.3684270724,-0.3910941408,1.1937322713,1.0527274228
611,16.37032,2081.25708,0.96958,105.58272,33720.99214,18.36318,1.16689,1.30531,1.526,-1.6124196096,-0.5348741367,1.4718864667,1.1926585062
612,24.42331,2081.25708,0.96958,105.58272,33720.99214,18.36318,1.16689,1.30531,1.526,-2.0357982059,-0.9229041329,2.2624986259,1.5757861296
613,0,4341.82204,1.07464,51.84413,34515.23942,20.49229,1.42725,1.52661,0.83928,0.1608660877,0.1255145904,0.1608660877,0.1255145904
614,10.91238,4341.82204,1.07464,51.84413,34515.23942,20.49229,1.42725,1.52661,0.83928,-1.5150632471,-0.5418225516,2.5976821092,1.7934025383
615,18.88356,4341.82204,1.07464,51.84413,34515.23942,20.49229,1.42725,1.52661,0.83928,-3.0875008611,-1.3965353597,4.338504765,2.6610893812
616,22.79774,4341.82204,1.07464,51.84413,34515.23942,20.49229,1.42725,1.52661,0.83928,-3.6851247093,-1.8245995972,5.2963129348,3.0820024119
617,0,4532.76108,0.94018,76.60881,33150.42225,22.90912,1.11605,1.55512,1.52536,0.1580863074,0.1143960614,0.1580863074,0.1143960614
618,12.32457,4532.76108,0.94018,76.60881,33150.42225,22.90912,1.11605,1.55512,1.52536,-2.0740394425,-0.9040512528,2.9600099253,1.9884441935
619,18.51445,4532.76108,0.94018,76.60881,33150.42225,22.90912,1.11605,1.55512,1.52536,-3.3974606066,-1.6256836331,4.3445535028,2.7166141281
620,24.85299,4532.76108,0.94018,76.60881,33150.42225,22.90912,1.11605,1.55512,1.52536,-4.6065034889,-2.3676849539,5.8481124491,3.4673084909
621,0,2396.36997,1.06053,75.33462,34334.9214,19.13726,0.98579,1.05346,1.27641,0.0961866383,0.0635097049,0.0961866389,0.0635097049
622,11.24889,2396.36997,1.06053,75.33462,34334.9214,19.13726,0.98579,1.05346,1.27641,-1.0244679094,-0.361968079,1.2777704708,0.8535957003
623,18.09572,2396.36997,1.06053,75.33462,34334.9214,19.13726,0.98579,1.05346,1.27641,-1.7156265561,-0.7278136863,2.024640877,1.2270710605
624,22.30886,2396.36997,1.06053,75.33462,34334.9214,19.13726,0.98579,1.05346,1.27641,-2.0651782048,-0.9480078118,2.5320507148,1.4638227096
625,0,2539.61536,1.0532,69.13832,36887.16407,20.17577,1.10775,1.9898,0.95894,0.1473657617,0.1141867187,0.1473657617,0.1141867187
626,11.06666,2539.61536,1.0532,69.13832,36887.16407,20.17577,1.10775,1.9898,0.95894,-1.2951700615,-0.2685620221,1.0652407797,1.3016891203
627,19.76615,2539.61536,1.0532,69.13832,36887.16407,20.17577,1.10775,1.9898,0.95894,-2.2532179084,-0.832624296,2.2015591108,1.8529596857
628,23.21089,2539.61536,1.0532,69.13832,36887.16407,20.17577,1.10775,1.9898,0.95894,-2.6400199853,-1.0576471704,2.6593324384,2.0697932435
629,0,3668.23074,1.01514,42.70305,35279.70587,22.49841,0.97913,1.21053,1.36922,0.176022369,0.1171970441,0.176022369,0.1171970441
630,10.44479,3668.23074,1.01514,42.70305,35279.70587,22.49841,0.97913,1.21053,1.36922,-1.3752894179,-0.4721595399,2.3505496773,1.38790664
631,16.26757,3668.23074,1.01514,42.70305,35279.70587,22.49841,0.97913,1.21053,1.36922,-2.3291459975,-0.9896228381,3.3620336262,1.9077411593
632,21.70302,3668.23074,1.01514,42.70305,35279.70587,22.49841,0.97913,1.21053,1.36922,-3.1698610274,-1.4916395241,4.3104122955,2.3913856658
633,0,3653.87528,1.05589,108.6421,36977.72319,19.58271,0.87717,1.59537,1.41514,0.1733274909,0.1211853041,0.1733274909,0.1211853041
634,10.71636,3653.87528,1.05589,108.6421,36977.72319,19.58271,0.87717,1.59537,1.41514,-1.1364229559,-0.5319840468,2.1801377679,1.3844575396
635,19.77361,3653.87528,1.05589,108.6421,36977.72319,19.58271,0.87717,1.59537,1.41514,-2.6055154487,-1.3407603285,3.7504670637,2.1975357623
636,22.1605,3653.87528,1.05589,108.6421,36977.72319,19.58271,0.87717,1.59537,1.41514,-2.902706387,-1.5533634568,4.211295492,2.4165088082
637,0,4273.57543,0.95892,38.96125,30999.12952,20.39162,1.31262,1.563,1.2932,0.1651609737,0.1240428656,0.1651609737,0.1240428656
638,11.5548,4273.57543,0.95892,38.96125,30999.12952,20.39162,1.31262,1.563,1.2932,-1.7023544971,-0.7329356074,2.6653621335,1.7825141279
639,17.76392,4273.57543,0.95892,38.96125,30999.12952,20.39162,1.31262,1.563,1.2932,-2.8954862545,-1.4064608982,4.0113485412,2.4724682507
640,23.98757,4273.57543,0.95892,38.96125,30999.12952,20.39162,1.31262,1.563,1.2932,-3.7440330598,-2.0864689786,5.5966803927,3.1663211002
641,0,2726.00092,0.97525,66.47354,30489.64871,20.03367,1.32654,1.30081,0.98154,0.1265536553,0.0946151532,0.1265536553,0.0946151532
642,11.19873,2726.00092,0.97525,66.47354,30489.64871,20.03367,1.32654,1.30081,0.98154,-1.3032365115,-0.3747417503,1.5116435481,1.0869589933
643,17.02375,2726.00092,0.97525,66.47354,30489.64871,20.03367,1.32654,1.30081,0.98154,-1.9771266365,-0.775283344,2.2566440654,1.4632892361
644,23.28433,2726.00092,0.97525,66.47354,30489.64871,20.03367,1.32654,1.30081,0.98154,-2.5367951384,-1.1775121214,3.0408125689,1.8783537877
645,0,3821.03352,1.06284,107.66106,36528.85646,18.23884,1.17845,1.32822,0.88995,0.0915239359,0.068034653,0.0915239359,0.068034653
646,11.97381,3821.03352,1.06284,107.66106,36528.85646,18.23884,1.17845,1.32822,0.88995,-1.3606417193,-0.6220983692,2.3292937012,1.4697058737
647,18.32619,3821.03352,1.06284,107.66106,36528.85646,18.23884,1.17845,1.32822,0.88995,-2.2297181384,-1.1792778737,3.5233935307,2.0333912763
648,23.73502,3821.03352,1.06284,107.66106,36528.85646,18.23884,1.17845,1.32822,0.88995,-2.5847204249,-1.6565592181,4.9483406241,2.519376468
649,0,4040.77179,0.97198,72.82717,30296.55832,21.88549,1.23924,1.29685,1.51739,0.1391774883,0.0994185415,0.1391774883,0.0994185415
650,13.15327,4040.77179,0.97198,72.82717,30296.55832,21.88549,1.23924,1.29685,1.51739,-1.9795210147,-0.8575785918,2.8051727137,1.7891006563
651,18.84098,4040.77179,0.97198,72.82717,30296.55832,21.88549,1.23924,1.29685,1.51739,-3.027559377,-1.4247475963,3.9063600801,2.3649148558
652,22.84442,4040.77179,0.97198,72.82717,30296.55832,21.88549,1.23924,1.29685,1.51739,-3.6895768687,-1.8240028918,4.719423953,2.7724163857
653,0,3009.88822,1.04729,102.87983,35622.77891,21.26261,1.28572,1.39185,1.49143,0.1522623283,0.110432026,0.1522623283,0.110432026
654,11.85647,3009.88822,1.04729,102.87983,35622.77891,21.26261,1.28572,1.39185,1.49143,-1.4673259775,-0.4970735207,1.6944730151,1.2829969582
655,16.04674,3009.88822,1.04729,102.87983,35622.77891,21.26261,1.28572,1.39185,1.49143,-2.0843453675,-0.8098613891,2.1994567752,1.5997843576
656,24.84866,3009.88822,1.04729,102.87983,35622.77891,21.26261,1.28572,1.39185,1.49143,-3.2617558892,-1.4652000987,3.487366906,2.2614400355
657,0,3942.19711,1.02214,60.64364,30692.15232,20.18723,0.82964,1.70675,1.13402,0.1270474916,0.090526311,0.1270474916,0.090526311
658,12.86651,3942.19711,1.02214,60.64364,30692.15232,20.18723,0.82964,1.70675,1.13402,-1.9781833105,-0.7339847222,2.8094759084,1.896486624
659,19.29578,3942.19711,1.02214,60.64364,30692.15232,20.18723,0.82964,1.70675,1.13402,-2.8806906329,-1.4046918421,4.1088552355,2.4855375015
660,25.83454,3942.19711,1.02214,60.64364,30692.15232,20.18723,0.82964,1.70675,1.13402,-3.445872394,-1.9887867971,5.6439879824,3.1282298741
661,0,2513.02609,0.97421,86.4431,32708.35326,20.35971,0.84527,1.99471,1.46841,0.1450221983,0.1050855604,0.1450221983,0.1050855604
662,11.71478,2513.02609,0.97421,86.4431,32708.35326,20.35971,0.84527,1.99471,1.46841,-1.3406258984,-0.4079760885,0.83127171,1.1446399543
663,17.75066,2513.02609,0.97421,86.4431,32708.35326,20.35971,0.84527,1.99471,1.46841,-2.1334312133,-0.803270497,1.5476592534,1.5280623789
664,22.44112,2513.02609,0.97421,86.4431,32708.35326,20.35971,0.84527,1.99471,1.46841,-2.6268878166,-1.1055940063,2.1730097244,1.8284142048
665,0,4471.86732,0.95617,112.01866,33411.31775,22.49299,1.57208,1.61324,1.13053,0.1545579856,0.1213594159,0.1545579856,0.1213594159
666,13.82877,4471.86732,0.95617,112.01866,33411.31775,22.49299,1.57208,1.61324,1.13053,-2.5476495029,-1.0011062642,3.1314069315,2.1963377718
667,17.94787,4471.86732,0.95617,112.01866,33411.31775,22.49299,1.57208,1.61324,1.13053,-3.4024842418,-1.4735224686,4.0464517797,2.6723519847
668,25.26073,4471.86732,0.95617,112.01866,33411.31775,22.49299,1.57208,1.61324,1.13053,-4.8254380948,-2.3233090509,5.7091666639,3.5118134948
669,0,2159.45658,1.032,114.10541,31370.51143,20.69597,1.04249,1.65005,1.12321,0.1328588929,0.0975635746,0.1328588929,0.0975635746
670,12.72619,2159.45658,1.032,114.10541,31370.51143,20.69597,1.04249,1.65005,1.12321,-1.8189766195,-0.3182481434,0.555468021,1.0696202295
671,18.94998,2159.45658,1.032,114.10541,31370.51143,20.69597,1.04249,1.65005,1.12321,-2.3576484956,-0.6560618142,1.2644396826,1.3971266067
672,23.42151,2159.45658,1.032,114.10541,31370.51143,20.69597,1.04249,1.65005,1.12321,-2.6821338995,-0.9358957121,1.7912748124,1.6233929805
673,0,2180.84026,1.09305,86.18916,31485.93291,20.70698,0.82367,1.62951,1.34936,0.1430000781,0.0998333763,0.1430000781,0.0998333763
674,12.60965,2180.84026,1.09305,86.18916,31485.93291,20.70698,0.82367,1.62951,1.34936,-1.322100212,-0.3600365247,1.309723235,0.9914093592
675,18.1175,2180.84026,1.09305,86.18916,31485.93291,20.70698,0.82367,1.62951,1.34936,-1.841386118,-0.6560048995,1.8929018728,1.2905031385
676,24.72403,2180.84026,1.09305,86.18916,31485.93291,20.70698,0.82367,1.62951,1.34936,-2.453217541,-1.0342057846,2.5876462512,1.6447666897
677,0,2291.83983,0.92553,36.91684,35978.53043,21.74755,0.88065,1.48601,1.33345,0.1871606194,0.1301510643,0.1871606194,0.1301510643
678,11.22744,2291.83983,0.92553,36.91684,35978.53043,21.74755,0.88065,1.48601,1.33345,-1.0834293254,-0.3249019121,1.5256354963,0.9466361873
679,17.95838,2291.83983,0.92553,36.91684,35978.53043,21.74755,0.88065,1.48601,1.33345,-1.7373553103,-0.704027172,2.2892739198,1.3316023167
680,21.26841,2291.83983,0.92553,36.91684,35978.53043,21.74755,0.88065,1.48601,1.33345,-2.0841794092,-0.8918167774,2.6491197661,1.5197854476
681,0,2073.85524,0.94346,76.39518,30509.03474,18.18739,1.33195,1.11871,1.03419,0.07972885,0.0585116759,0.07972885,0.0585116759
682,12.66263,2073.85524,0.94346,76.39518,30509.03474,18.18739,1.33195,1.11871,1.03419,-1.0240554787,-0.3753450047,1.1845682355,0.8205285323
683,18.20714,2073.85524,0.94346,76.39518,30509.03474,18.18739,1.33195,1.11871,1.03419,-1.5028485791,-0.6349603262,1.6960591698,1.0843888961
684,24.24205,2073.85524,0.94346,76.39518,30509.03474,18.18739,1.33195,1.11871,1.03419,-1.8273704269,-0.9195423956,2.2991263445,1.3689418081
