Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
105,0,5000,0.9,75,30000,17,0.8,1,1.2,0.0598426295,0.0373913111,0.0598426295,0.0373913111
106,10,5000,0.9,75,30000,17,0.8,1,1.2,-1.2977696299,-0.6499135678,2.552193041,1.4367579419
107,18,5000,0.9,75,30000,17,0.8,1,1.2,-1.9705760254,-1.3409376858,5.5803106861,2.4199527514
108,26,5000,0.9,75,30000,17,0.8,1,1.2,-2.8212714128,-2.0522218189,8.9318109959,3.4096005531
109,0,5000,0.9,75,37000,17,0.8,1,1.2,0.0599821835,0.0374799995,0.0599821835,0.0374799995
110,10,5000,0.9,75,37000,17,0.8,1,1.2,-1.2811164581,-0.6415289416,2.6357908296,1.4820548837
111,18,5000,0.9,75,37000,17,0.8,1,1.2,-1.9506598538,-1.3341659252,5.6395226893,2.4509325129
112,26,5000,0.9,75,37000,17,0.8,1,1.2,-2.7998063252,-2.0471754773,8.9950921877,3.4359750994
113,0,5000,1.1,25,30000,17,0.8,1,1.2,0.0402488163,0.0238241613,0.0402488163,0.0238241613
114,10,5000,1.1,25,30000,17,0.8,1,1.2,-1.26690596,-0.6021141387,2.8320627734,1.4904289159
115,18,5000,1.1,25,30000,17,0.8,1,1.2,-2.1294646538,-1.3212357997,5.3098420907,2.4490451706
116,26,5000,1.1,25,30000,17,0.8,1,1.2,-3.1024952048,-2.0439822075,8.1043303881,3.4426829904
117,0,5000,1.1,25,37000,17,0.8,1,1.2,0.0403194769,0.0238690209,0.0403194769,0.0238690209
118,10,5000,1.1,25,37000,17,0.8,1,1.2,-1.2636350912,-0.6009813759,2.8455054838,1.4962662669
119,18,5000,1.1,25,37000,17,0.8,1,1.2,-2.1240989728,-1.3201835188,5.325799518,2.4542228053
120,26,5000,1.1,25,37000,17,0.8,1,1.2,-3.0929136565,-2.0422464928,8.1400949858,3.4485159598
121,0,5000,1.1,75,30000,17,0.8,1,1.2,0.0380841176,0.0224981929,0.0380841176,0.0224981929
122,10,5000,1.1,75,30000,17,0.8,1,1.2,-1.2783474686,-0.6153720826,2.6420361845,1.4650154832
123,18,5000,1.1,75,30000,17,0.8,1,1.2,-1.9436664807,-1.3053880103,5.4393433617,2.4349114871
124,26,5000,1.1,75,30000,17,0.8,1,1.2,-2.7732094893,-2.0095973056,8.7636652493,3.4489780175
125,0,5000,1.1,75,37000,17,0.8,1,1.2,0.0381605374,0.0225467853,0.0381605374,0.0225467853
126,10,5000,1.1,75,37000,17,0.8,1,1.2,-1.2809501052,-0.6156141286,2.6772536587,1.4560488522
127,18,5000,1.1,75,37000,17,0.8,1,1.2,-1.93484808,-1.3032101725,5.4847005815,2.4337175007
128,26,5000,1.1,75,37000,17,0.8,1,1.2,-2.7553570324,-2.0070675845,8.8353181284,3.4522134589
129,0,2000,0.9,25,30000,17,0.8,1,1.6,0.1084385021,0.0659419962,0.1084385021,0.0659419962
130,10,2000,0.9,25,30000,17,0.8,1,1.6,-0.6614641932,-0.2562360502,1.0996347303,0.5900937552
131,18,2000,0.9,25,30000,17,0.8,1,1.6,-1.1851446807,-0.5839427831,1.8272476629,0.9433361991
132,26,2000,0.9,25,30000,17,0.8,1,1.6,-1.502017154,-0.8619084348,2.7152379777,1.3276673551
133,0,2000,0.9,25,37000,17,0.8,1,1.6,0.1082311979,0.0659130167,0.1082311979,0.0659130167
134,10,2000,0.9,25,37000,17,0.8,1,1.6,-0.6610561251,-0.2557649363,1.1030633614,0.5909335846
135,18,2000,0.9,25,37000,17,0.8,1,1.6,-1.1840765481,-0.5839690751,1.8324318508,0.9449560563
136,26,2000,0.9,25,37000,17,0.8,1,1.6,-1.5006947298,-0.8618294525,2.7230310636,1.3300373606
137,0,2000,0.9,75,30000,17,0.8,1,1.6,0.1104102207,0.0671316279,0.1104102207,0.0671316279
138,10,2000,0.9,75,30000,17,0.8,1,1.6,-0.6611943896,-0.2578824379,1.1515624269,0.5746991739
139,18,2000,0.9,75,30000,17,0.8,1,1.6,-1.1910131293,-0.5799346535,1.8532401612,0.9167068025
140,26,2000,0.9,75,30000,17,0.8,1,1.6,-1.4388359141,-0.8523363523,2.7269752591,1.2911206891
141,0,2000,0.9,75,37000,17,0.8,1,1.6,0.1095016068,0.0678779512,0.1095016068,0.0678779512
142,10,2000,0.9,75,37000,17,0.8,1,1.6,-0.5491517953,-0.2396771757,1.3450274447,0.5946248601
143,18,2000,0.9,75,37000,17,0.8,1,1.6,-1.1770693876,-0.5703019612,1.9814278177,0.9287260252
144,26,2000,0.9,75,37000,17,0.8,1,1.6,-1.4093774591,-0.8466455011,2.8392694027,1.3028306627
145,0,2000,1.1,25,30000,17,0.8,1,1.6,0.0462705566,0.0267135562,0.0462705566,0.0267135562
146,10,2000,1.1,25,30000,17,0.8,1,1.6,-0.5757547746,-0.2567785633,0.9652250627,0.5772933637
147,18,2000,1.1,25,30000,17,0.8,1,1.6,-1.2026323121,-0.5870936808,1.6958223846,0.9277917632
148,26,2000,1.1,25,30000,17,0.8,1,1.6,-1.5835344774,-0.8813242598,2.5794489769,1.308616398
149,0,2000,1.1,25,37000,17,0.8,1,1.6,0.0463587171,0.0267685743,0.0463587171,0.0267685743
150,10,2000,1.1,25,37000,17,0.8,1,1.6,-0.5735524684,-0.2564817613,0.966626793,0.5782939886
151,18,2000,1.1,25,37000,17,0.8,1,1.6,-1.2012603878,-0.587056321,1.6987016964,0.9294216405
152,26,2000,1.1,25,37000,17,0.8,1,1.6,-1.5809801225,-0.878700872,2.5853735518,1.3116027664
153,0,2000,1.1,75,30000,17,0.8,1,1.6,0.0438405125,0.0252503574,0.0438405125,0.0252503574
154,10,2000,1.1,75,30000,17,0.8,1,1.6,-0.6332125014,-0.2728748596,0.8324575758,0.5439550185
155,18,2000,1.1,75,30000,17,0.8,1,1.6,-1.2705275817,-0.6003689267,1.5211752558,0.8804086132
156,26,2000,1.1,75,30000,17,0.8,1,1.6,-1.5498919971,-0.8791919013,2.425846324,1.2568901024
157,0,2000,1.1,75,37000,17,0.8,1,1.6,0.0439437477,0.0253148698,0.0439437477,0.0253148698
158,10,2000,1.1,75,37000,17,0.8,1,1.6,-0.6349730224,-0.2727221482,0.8325298433,0.5450299388
159,18,2000,1.1,75,37000,17,0.8,1,1.6,-1.2723107113,-0.6004929929,1.5231856188,0.8824562881
160,26,2000,1.1,75,37000,17,0.8,1,1.6,-1.5502057792,-0.8804915475,2.4360971379,1.2601820044
161,0,5000,0.9,25,30000,17,0.8,1,1.6,0.1084385021,0.0659419962,0.1084385021,0.0659419962
162,10,5000,0.9,25,30000,17,0.8,1,1.6,-1.3099841246,-0.6654698172,2.9422067362,1.4706540636
163,18,5000,0.9,25,30000,17,0.8,1,1.6,-2.1429448984,-1.352630931,5.3924423531,2.4650405682
164,26,5000,0.9,25,30000,17,0.8,1,1.6,-3.1065020889,-2.0533663312,8.1919221802,3.493655889
165,0,5000,0.9,25,37000,17,0.8,1,1.6,0.1082311979,0.0659130167,0.1082311979,0.0659130167
166,10,5000,0.9,25,37000,17,0.8,1,1.6,-1.3094729483,-0.6654013762,2.9468524484,1.4729887128
